iter	MultiClass
0	1.05254287
1	1.01249746
2	0.9787599565
3	0.9493784982
4	0.9235042288
5	0.9009932846
6	0.8804567157
7	0.8630243701
8	0.8467243809
9	0.832065537
10	0.8190990025
11	0.8084071741
12	0.7981499537
13	0.7896935471
14	0.7821747465
15	0.7750518968
16	0.7684452514
17	0.7619962265
18	0.7562285066
19	0.7520095156
20	0.7476430994
21	0.7439342735
22	0.7406985164
23	0.7379028362
24	0.7346226076
25	0.7318848702
26	0.729689321
27	0.7276517107
28	0.725695389
29	0.7242394139
30	0.7224598744
31	0.7209578867
32	0.7194975365
33	0.718416273
34	0.7173026886
35	0.7164004518
36	0.7155167715
37	0.7147427009
38	0.7139641368
39	0.7133149255
40	0.712727042
41	0.712169168
42	0.7115789553
43	0.7111064491
44	0.7106771127
45	0.710208344
46	0.7098032803
47	0.7094456206
48	0.7089945047
49	0.7085758692
50	0.7082353429
51	0.7079582889
52	0.7076928885
53	0.7074420803
54	0.7071851472
55	0.7069603525
56	0.7067544547
57	0.7065483861
58	0.7063596776
59	0.7061691151
60	0.7060063658
61	0.7058512932
62	0.7057049037
63	0.7055860058
64	0.7054541914
65	0.7053382428
66	0.7052204583
67	0.7051093355
68	0.7050029935
69	0.7049271012
70	0.7048106923
71	0.7046887855
72	0.7045975731
73	0.7045090595
74	0.7044238695
75	0.7043677778
76	0.7042859664
77	0.7042083272
78	0.704134663
79	0.7040645931
80	0.7039977845
81	0.7039392883
82	0.7038756842
83	0.7038148461
84	0.7037565442
85	0.703700575
86	0.7036366612
87	0.7035848831
88	0.7035349675
89	0.7034867837
90	0.7034402147
91	0.7033951552
92	0.7033515102
93	0.7033091939
94	0.7032681283
95	0.7032282426
96	0.7031894721
97	0.7031517577
98	0.7031150452
99	0.7030792847
