iter	Passed	Remaining
0	0	81
1	1	86
2	2	84
3	3	85
4	4	85
5	5	86
6	6	84
7	7	85
8	8	84
9	9	84
10	10	85
11	11	83
12	12	86
13	13	84
14	14	82
15	15	83
16	16	82
17	17	80
18	19	81
19	20	81
20	21	81
21	22	81
22	23	79
23	24	78
24	25	77
25	26	76
26	28	76
27	29	75
28	30	74
29	30	72
30	31	70
31	32	69
32	33	68
33	34	67
34	35	66
35	36	65
36	37	64
37	38	63
38	39	62
39	40	60
40	41	59
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	52	49
51	53	48
52	54	48
53	55	47
54	56	46
55	57	45
56	58	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	82	23
78	83	22
79	84	21
80	85	20
81	87	19
82	88	18
83	89	17
84	90	16
85	92	15
86	93	13
87	94	12
88	96	11
89	97	10
90	98	9
91	99	8
92	101	7
93	102	6
94	103	5
95	105	4
96	106	3
97	107	2
98	109	1
99	110	0
